mercury-215,mercure 215,mercury,mercure,80,135,16208,401,1,7705,2,1,215.0174,0.00043,1
thallium-215,thallium 215,thallium,thallium,81,134,9911,298,1,7730,1,1,215.01064,0.00032,1
uranium-215,uranium 215,uranium,uranium,92,123,24923.087,88.49,0,7620.624,0.412,0,215.026756035,9.4997e-05,0
mercury-216,mercure 216,mercury,mercure,80,136,19859,401,1,7690,2,1,216.02132,0.00043,1
thallium-216,thallium 216,thallium,thallium,81,135,14718,298,1,7710,1,1,216.0158,0.00032,1
lead-216,plomb 216,lead,plomb,82,134,7480,196,1,7740,1,1,216.00803,0.00021,1
uranium-216,uranium 216,uranium,uranium,92,124,23066.351,28.093,0,7631.307,0.13,0,216.024762747,3.0158e-05,0
thallium-217,thallium 217,thallium,thallium,81,136,18313,401,1,7695,2,1,217.01966,0.00043,1
lead-217,plomb 217,lead,plomb,82,135,12240,298,1,7719,1,1,217.01314,0.00032,1
thallium-218,thallium 218,thallium,thallium,81,137,23180,400,1,7674,2,1,218.024885,0.000429,1
lead-218,plomb 218,lead,plomb,82,136,15453,298,1,7706,1,1,218.01659,0.00032,1
lead-219,plomb 219,lead,plomb,82,137,20279,401,1,7686,2,1,219.02177,0.00043,1
bismuth-219,bismuth 219,bismuth,bismuth,83,136,16283,196,1,7700,1,1,219.01748,0.00021,1
neptunium-219,neptunium 219,neptunium,neptunium,93,126,29456.655,88.354,0,7604.583,0.403,0,219.031623021,9.4851e-05,0
lead-220,plomb 220,lead,plomb,82,138,23669,401,1,7672,2,1,220.02541,0.00043,1
bismuth-220,bismuth 220,bismuth,bismuth,83,137,20819,298,1,7682,1,1,220.02235,0.00032,1
neptunium-220,neptunium 220,neptunium,neptunium,93,127,30311,196,1,7603,1,1,220.03254,0.00021,1
bismuth-221,bismuth 221,bismuth,bismuth,83,138,24098,298,1,7668,1,1,221.02587,0.00032,1
polonium-221,polonium 221,polonium,polonium,84,137,19773.755,19.561,0,7684.481,0.089,0,221.021228,2.1e-05,0
neptunium-221,neptunium 221,neptunium,neptunium,93,128,29850,200,1,7607,1,1,221.032045,0.000215,1
bismuth-222,bismuth 222,bismuth,bismuth,83,139,28729,300,1,7649,1,1,222.030842,0.000322,1
polonium-222,polonium 222,polonium,polonium,84,138,22486.265,40.054,0,7674.005,0.18,0,222.02414,4.3e-05,0
neptunium-222,neptunium 222,neptunium,neptunium,93,129,31019,196,1,7604,1,1,222.0333,0.00021,1
bismuth-223,bismuth 223,bismuth,bismuth,83,140,32137,401,1,7636,2,1,223.0345,0.00043,1
polonium-223,polonium 223,polonium,polonium,84,139,27079,196,1,7655,1,1,223.02907,0.00021,1
neptunium-223,neptunium 223,neptunium,neptunium,93,130,30600,196,1,7608,1,1,223.03285,0.00021,1
bismuth-224,bismuth 224,bismuth,bismuth,83,141,36830,400,1,7617,2,1,224.039539,0.000429,1
polonium-224,polonium 224,polonium,polonium,84,140,29910,196,1,7644,1,1,224.03211,0.00021,1
astatine-224,astate 224,astatine,astate,85,139,27711.015,22.356,0,7650.735,0.1,0,224.029749,2.4e-05,0
neptunium-224,neptunium 224,neptunium,neptunium,93,131,31876,196,1,7604,1,1,224.03422,0.00021,1
polonium-225,polonium 225,polonium,polonium,84,141,34530,298,1,7626,1,1,225.03707,0.00032,1
astatine-225,astate 225,astatine,astate,85,140,30395,298,1,7641,1,1,225.03263,0.00032,1
polonium-226,polonium 226,polonium,polonium,84,142,37549,401,1,7614,2,1,226.04031,0.00043,1
astatine-226,astate 226,astatine,astate,85,141,34614,298,1,7624,1,1,226.03716,0.00032,1
polonium-227,polonium 227,polonium,polonium,84,143,42281,401,1,7596,2,1,227.04539,0.00043,1
astatine-227,astate 227,astatine,astate,85,142,37483,298,1,7613,1,1,227.04024,0.00032,1
plutonium-227,plutonium 227,plutonium,plutonium,94,133,36770,100,1,7585,0,1,227.039474,0.000107,1
astatine-228,astate 228,astatine,astate,85,143,41684,401,1,7597,2,1,228.04475,0.00043,1
astatine-229,astate 229,astatine,astate,85,144,44823,401,1,7585,2,1,229.04812,0.00043,1
americium-229,américium 229,americium,américium,95,134,42150.02,87.348,0,7562.702,0.381,0,229.045249909,9.3772e-05,0
radon-230,radon 230,radon,radon,86,144,42048,196,1,7596,1,1,230.04514,0.00021,1
americium-230,américium 230,americium,américium,95,135,42932,133,1,7562,1,1,230.046089,0.000143,1
radon-231,radon 231,radon,radon,86,145,46454,298,1,7579,1,1,231.04987,0.00032,1
curium-231,curium 231,curium,curium,96,135,47270,300,1,7542,1,1,231.050746,0.000322,1
francium-233,francium 233,francium,francium,87,146,48920.051,19.561,0,7569.239,0.084,0,233.052517838,2.1e-05,0
berkelium-233,berkélium 233,berkelium,berkélium,97,136,52861,224,1,7519,1,1,233.056748,0.00024,1
berkelium-234,berkélium 234,berkelium,berkélium,97,137,53455,142,1,7519,1,1,234.057387,0.000153,1
radium-235,radium 235,radium,radium,88,147,51130,300,1,7561,1,1,235.05489,0.000322,1
actinium-237,actinium 237,actinium,actinium,89,148,54020,400,1,7550,2,1,237.057993,0.000429,1
thorium-239,thorium 239,thorium,thorium,90,149,56450,400,1,7541,2,1,239.060602,0.000429,1
einsteinium-239,einsteinium 239,einsteinium,einsteinium,99,140,63556,298,1,7481,1,1,239.06823,0.00032,1
protactinium-241,protactinium 241,protactinium,protactinium,91,150,59640,300,1,7528,1,1,241.064026,0.000322,1
